Filename,Red,Green,Blue
262747.jpg,0,0,0
261528.jpg,221,221,221
262021.jpg,0,0,0
262035.jpg,0,0,0
188454.jpg,0,0,0
262753.jpg,255,255,255
278723.jpg,255,255,255
261514.jpg,220,220,220
261500.jpg,0,0,0
9223372032559851595.jpg,22,17,23
9223372032559861456.jpg,20,15,21
262009.jpg,0,0,0
188468.jpg,26,22,21
278737.jpg,189,189,189
188483.jpg,16,18,17
362948.jpg,0,0,0
9223372032559821933.jpg,0,0,0
188497.jpg,19,19,19
362974.jpg,27,20,12
362960.jpg,148,144,115
262223.jpg,0,0,0
9223372032559822037.jpg,60,60,60
9223372032559864062.jpg,19,19,19
188642.jpg,31,37,37
262545.jpg,255,255,255
193504.jpg,189,189,189
262551.jpg,220,220,220
193510.jpg,204,204,204
9223372032559864076.jpg,244,254,253
262237.jpg,255,255,255
261716.jpg,238,238,238
9223372032559861640.jpg,255,255,255
193538.jpg,221,206,185
262579.jpg,255,255,255
278535.jpg,220,212,189
261702.jpg,0,0,0
261931.jpg,220,220,220
9223372032559845709.jpg,17,12,6
9223372032559850304.jpg,200,194,194
262586.jpg,0,0,0
9223372032559812123.jpg,33,33,25
9223372032559850310.jpg,213,231,243
262592.jpg,222,222,222
261925.jpg,222,222,222
9223372032559857331.jpg,6,6,6
197945.jpg,75,77,66
9223372032559857457.jpg,202,202,202
9223372032559850338.jpg,184,164,127
9223372032559857443.jpg,231,218,201
197951.jpg,181,167,164
9223372032559845721.jpg,25,25,25
9223372032559857325.jpg,155,160,166
193316.jpg,246,233,216
262357.jpg,0,0,0
261886.jpg,238,238,238
9223372032559812080.jpg,11,19,22
193470.jpg,17,18,22
262425.jpg,255,255,255
193464.jpg,235,219,183
9223372032559874311.jpg,5,14,23
9223372032559812094.jpg,11,11,11
261892.jpg,0,0,0
193302.jpg,60,40,39
262343.jpg,221,221,221
261662.jpg,0,0,0
9223372032559845682.jpg,12,10,11
193458.jpg,228,225,220
262419.jpg,0,0,0
261676.jpg,0,0,0
9223372032559845696.jpg,24,20,19
261845.jpg,255,255,255
9223372032559851608.jpg,27,21,25
262394.jpg,209,209,209
9223372032559850270.jpg,197,229,254
9223372032559850264.jpg,212,243,248
262380.jpg,197,197,197
261689.jpg,238,238,238
9223372032559845669.jpg,28,29,33
261851.jpg,221,221,221
261879.jpg,0,0,0
197831.jpg,178,181,174
9223372032559850258.jpg,203,226,242
9223372032559845655.jpg,21,26,22
9223372032559851620.jpg,50,43,27
262633.jpg,57,57,57
262155.jpg,237,237,237
262141.jpg,68,68,68
261448.jpg,0,0,0
188520.jpg,19,15,16
262627.jpg,0,0,0
188508.jpg,18,21,26
9223372032559861536.jpg,21,17,32
262169.jpg,241,241,241
261460.jpg,0,0,0
261474.jpg,221,221,221
9223372032559861522.jpg,18,18,16
296017.jpg,0,0,0
262196.jpg,0,0,0
9223372032559886420.jpg,232,202,192
262182.jpg,0,0,0
262183.jpg,237,237,237
9223372032559886421.jpg,214,211,192
262197.jpg,0,0,0
9223372032559861523.jpg,14,12,23
261475.jpg,238,238,238
261461.jpg,221,221,221
262168.jpg,241,241,241
9223372032559861537.jpg,17,15,20
261449.jpg,204,204,204
262140.jpg,33,33,33
262626.jpg,0,0,0
188535.jpg,18,16,17
262632.jpg,0,0,0
