Filename,Red,Green,Blue
195377.jpg,251,251,251
191111.jpg,11,5,7
9223372032559832740.jpg,34,34,36
189038.jpg,40,31,36
195411.jpg,211,171,135
195405.jpg,9,10,15
230773.jpg,18,19,21
200868.jpg,227,227,227
191105.jpg,8,7,15
195363.jpg,246,246,246
200698.jpg,254,254,254
200840.jpg,112,93,79
186451.jpg,253,253,253
274119.jpg,56,48,29
192342.jpg,245,247,246
192356.jpg,12,0,0
195439.jpg,22,22,22
200854.jpg,255,255,255
191139.jpg,0,0,2
186445.jpg,2,2,2
198848.jpg,91,25,26
200667.jpg,238,236,224
9223372032559851218.jpg,38,30,28
224909.jpg,11,21,22
200673.jpg,253,253,253
9223372032559851224.jpg,199,184,161
195388.jpg,0,0,0
224935.jpg,13,12,28
200883.jpg,12,16,17
9223372032559862836.jpg,23,28,34
230798.jpg,232,195,153
201223.jpg,169,169,169
192381.jpg,240,224,227
192395.jpg,2,4,3
201237.jpg,248,243,224
198860.jpg,161,161,161
200897.jpg,231,227,226
9223372032559862822.jpg,255,255,255
224921.jpg,2,2,2
225168.jpg,28,19,24
193262.jpg,12,18,16
269376.jpg,35,35,35
198337.jpg,131,154,134
257298.jpg,8,0,0
199029.jpg,58,56,57
269410.jpg,35,35,35
273448.jpg,4,0,0
241388.jpg,3,1,4
269404.jpg,253,253,253
269362.jpg,128,126,129
198323.jpg,47,28,47
244596.jpg,25,20,14
193276.jpg,197,197,197
199015.jpg,35,35,35
225154.jpg,244,248,247
233050.jpg,16,14,15
273474.jpg,28,36,21
210689.jpg,26,20,20
233044.jpg,31,22,25
273460.jpg,188,188,188
225140.jpg,228,191,172
249065.jpg,89,69,62
241439.jpg,0,0,7
192801.jpg,174,162,136
210676.jpg,15,9,11
210662.jpg,0,0,0
186860.jpg,0,0,0
9223372032559885539.jpg,29,24,18
192815.jpg,24,24,24
9223372032559861873.jpg,126,48,28
201009.jpg,192,191,126
249071.jpg,255,255,255
225197.jpg,29,28,26
257267.jpg,244,243,241
