Filename,Red,Green,Blue
9223372032559873720.jpg,157,123,25
9223372032559869963.jpg,6,0,0
228316.jpg,255,255,255
228302.jpg,0,0,0
9223372032559833847.jpg,0,11,5
9223372032559833853.jpg,46,19,8
9223372032559858189.jpg,70,110,172
9223372032559834053.jpg,0,0,0
228276.jpg,28,32,31
9223372032559834084.jpg,227,194,149
9223372032559833933.jpg,30,32,27
228289.jpg,12,7,4
9223372032559868923.jpg,14,0,0
9223372032559869383.jpg,208,206,211
9223372032559833927.jpg,255,254,255
9223372032559858176.jpg,255,255,242
9223372032559858162.jpg,255,255,255
9223372032559834245.jpg,151,116,86
9223372032559834251.jpg,157,118,85
9223372032559868512.jpg,29,35,33
9223372032559868506.jpg,255,255,255
9223372032559873898.jpg,27,26,21
9223372032559873873.jpg,4,8,7
9223372032559858348.jpg,255,255,255
9223372032559873867.jpg,255,255,255
9223372032559858412.jpg,7,9,6
9223372032559858360.jpg,255,255,255
9223372032559858406.jpg,255,255,255
9223372032559858361.jpg,0,0,0
9223372032559858407.jpg,255,255,255
9223372032559858413.jpg,255,255,255
9223372032559873872.jpg,252,255,255
9223372032559858349.jpg,7,5,6
9223372032559873899.jpg,49,50,36
9223372032559868507.jpg,255,255,255
9223372032559868513.jpg,47,32,27
9223372032559834250.jpg,155,115,80
9223372032559834244.jpg,154,117,88
9223372032559858177.jpg,255,255,255
9223372032559868922.jpg,14,0,0
228288.jpg,16,15,10
9223372032559833926.jpg,0,0,0
9223372032559833932.jpg,115,86,56
9223372032559834085.jpg,255,255,255
228277.jpg,14,0,0
9223372032559834052.jpg,0,0,0
9223372032559864671.jpg,241,243,232
9223372032559858188.jpg,11,11,11
9223372032559833852.jpg,25,23,24
9223372032559833846.jpg,72,15,4
9223372032559868842.jpg,1,0,0
228303.jpg,0,0,0
228317.jpg,255,255,255
9223372032559868665.jpg,0,2,0
9223372032559868659.jpg,221,221,221
9223372032559869962.jpg,32,32,32
9223372032559873721.jpg,127,147,206
365759.jpg,255,243,227
9223372032559873737.jpg,165,125,56
9223372032559873723.jpg,71,61,51
9223372032559873904.jpg,40,32,19
9223372032559869960.jpg,255,255,255
228301.jpg,0,0,0
228315.jpg,255,255,255
9223372032559833850.jpg,1,1,0
9223372032559868840.jpg,11,0,0
9223372032559833844.jpg,255,255,255
9223372032559834050.jpg,0,0,0
228275.jpg,209,195,146
9223372032559834078.jpg,24,0,0
9223372032559833924.jpg,26,22,21
9223372032559834087.jpg,0,0,0
9223372032559833930.jpg,43,39,28
9223372032559858149.jpg,210,210,210
9223372032559833918.jpg,17,0,0
9223372032559858161.jpg,0,0,0
9223372032559858175.jpg,139,163,191
9223372032559868539.jpg,0,0,0
9223372032559834252.jpg,154,115,82
9223372032559834246.jpg,156,119,90
9223372032559858388.jpg,254,255,255
9223372032559868505.jpg,255,255,255
9223372032559873870.jpg,255,255,255
9223372032559858405.jpg,146,168,207
9223372032559870389.jpg,35,10,29
9223372032559858363.jpg,48,115,204
9223372032559858411.jpg,255,255,255
9223372032559858410.jpg,0,2,0
9223372032559870388.jpg,54,52,27
9223372032559858404.jpg,34,83,159
9223372032559858362.jpg,82,124,182
9223372032559873871.jpg,149,59,48
9223372032559868510.jpg,18,0,0
9223372032559858389.jpg,1,1,1
9223372032559834247.jpg,170,127,92
9223372032559868538.jpg,255,255,255
9223372032559834253.jpg,174,131,99
9223372032559858174.jpg,0,0,0
9223372032559858160.jpg,182,182,182
9223372032559833919.jpg,255,255,217
9223372032559858148.jpg,112,98,85
9223372032559833931.jpg,22,0,0
9223372032559834086.jpg,0,0,0
9223372032559833925.jpg,216,186,132
9223372032559834079.jpg,0,0,0
228274.jpg,234,222,206
9223372032559864672.jpg,255,255,255
9223372032559834051.jpg,21,21,21
9223372032559868841.jpg,0,0,0
9223372032559833845.jpg,64,36,14
9223372032559833851.jpg,3,2,0
228314.jpg,0,0,0
228300.jpg,227,225,210
9223372032559869961.jpg,46,46,44
9223372032559873905.jpg,93,73,36
9223372032559873722.jpg,6,5,10
365764.jpg,253,231,0
9223372032559873736.jpg,250,227,196
365758.jpg,254,218,0
365760.jpg,75,60,57
365748.jpg,169,48,29
9223372032559873929.jpg,255,255,255
9223372032559869965.jpg,255,255,255
9223372032559873901.jpg,203,203,203
9223372032559869959.jpg,0,0,0
228304.jpg,0,0,0
9223372032559868676.jpg,4,0,0
228310.jpg,255,255,255
9223372032559868689.jpg,5,6,1
9223372032559833855.jpg,99,42,13
9223372032559833841.jpg,255,255,255
228270.jpg,53,41,27
9223372032559858170.jpg,0,0,0
9223372032559833909.jpg,87,87,97
9223372032559868925.jpg,13,0,0
9223372032559858158.jpg,114,168,212
9223372032559869385.jpg,241,196,154
9223372032559833921.jpg,0,0,0
9223372032559834082.jpg,0,0,0
9223372032559833935.jpg,255,252,255
9223372032559868931.jpg,4,4,4
9223372032559868514.jpg,191,139,17
9223372032559858399.jpg,111,111,123
9223372032559834257.jpg,255,255,255
9223372032559868528.jpg,255,255,255
9223372032559834243.jpg,150,115,85
9223372032559858366.jpg,255,255,255
9223372032559858400.jpg,255,255,255
9223372032559858414.jpg,229,236,246
9223372032559858372.jpg,72,67,63
9223372032559873875.jpg,255,255,255
9223372032559858428.jpg,117,162,227
9223372032559858429.jpg,219,232,251
9223372032559873874.jpg,43,43,37
9223372032559858415.jpg,255,255,255
9223372032559858367.jpg,249,255,255
9223372032559858401.jpg,85,126,170
9223372032559868529.jpg,255,255,255
9223372032559834242.jpg,161,117,88
9223372032559834256.jpg,0,0,0
9223372032559868515.jpg,228,235,241
9223372032559833934.jpg,255,255,244
9223372032559834083.jpg,68,67,73
9223372032559868930.jpg,71,54,47
9223372032559868924.jpg,13,0,0
9223372032559833920.jpg,0,0,0
9223372032559869384.jpg,251,252,246
9223372032559858159.jpg,23,46,88
9223372032559833908.jpg,80,45,15
9223372032559858171.jpg,226,233,241
9223372032559858165.jpg,93,72,71
228271.jpg,5,3,4
9223372032559833840.jpg,255,255,255
9223372032559868688.jpg,254,254,254
9223372032559833854.jpg,20,25,29
228311.jpg,0,0,0
9223372032559868677.jpg,0,0,0
228305.jpg,0,0,2
9223372032559869958.jpg,255,255,255
9223372032559873900.jpg,255,255,255
9223372032559869964.jpg,46,46,12
9223372032559873928.jpg,250,252,249
365749.jpg,238,231,203
365761.jpg,253,207,0
365763.jpg,46,34,36
9223372032559873725.jpg,255,255,255
9223372032559873719.jpg,14,0,0
9223372032559869966.jpg,2,20,22
9223372032559858239.jpg,0,0,0
9223372032559873902.jpg,50,43,27
9223372032559868488.jpg,42,42,42
228313.jpg,251,255,255
228307.jpg,255,255,255
9223372032559868675.jpg,61,59,60
9223372032559868649.jpg,114,124,99
9223372032559833842.jpg,26,25,20
9223372032559833856.jpg,4,3,1
228267.jpg,133,121,99
