Filename,Red,Green,Blue
192418.jpg,106,63,18
185164.jpg,62,62,62
248810.jpg,185,202,255
185170.jpg,3,3,3
319493.jpg,198,206,209
248838.jpg,31,29,32
9223372032559852936.jpg,0,0,0
185158.jpg,53,39,36
9223372032559885049.jpg,22,17,13
294748.jpg,4,12,15
9223372032559885075.jpg,156,152,125
9223372032559885061.jpg,0,0,0
348145.jpg,25,25,27
266723.jpg,17,17,19
234703.jpg,35,29,31
234717.jpg,8,3,0
9223372032559882295.jpg,27,25,26
235409.jpg,33,19,18
266737.jpg,41,27,26
358815.jpg,19,19,17
189206.jpg,51,41,31
235347.jpg,35,35,35
235421.jpg,255,255,255
303839.jpg,46,44,45
235435.jpg,38,34,35
235353.jpg,20,14,18
189212.jpg,33,34,28
235384.jpg,21,21,21
358626.jpg,2,2,2
9223372032559845047.jpg,17,11,11
358632.jpg,0,0,0
235390.jpg,63,39,39
265438.jpg,44,38,24
329154.jpg,0,0,0
266657.jpg,20,18,21
234677.jpg,43,40,23
234663.jpg,51,41,40
266643.jpg,0,0,0
267213.jpg,20,26,24
265404.jpg,30,22,20
329168.jpg,144,103,37
265362.jpg,31,22,25
265376.jpg,40,31,36
265410.jpg,19,19,27
267207.jpg,255,255,255
9223372032559880247.jpg,50,36,23
266680.jpg,16,14,17
265389.jpg,15,20,26
9223372032559877803.jpg,182,170,144
329183.jpg,16,15,11
9223372032559880253.jpg,10,10,12
358752.jpg,26,36,35
270974.jpg,69,48,43
234688.jpg,42,27,32
270960.jpg,33,28,35
358746.jpg,32,34,33
229424.jpg,197,194,175
229430.jpg,18,17,23
195217.jpg,14,13,19
9223372032559852842.jpg,244,238,216
358593.jpg,72,61,43
189170.jpg,113,126,119
229418.jpg,22,18,9
358587.jpg,13,13,11
9223372032559852856.jpg,224,221,202
241029.jpg,0,0,0
319530.jpg,49,46,31
358578.jpg,54,22,11
319524.jpg,155,148,119
241015.jpg,178,178,178
9223372032559852881.jpg,144,149,145
9223372032559848173.jpg,255,255,255
9223372032559852895.jpg,66,59,30
319518.jpg,48,44,32
319519.jpg,149,149,149
9223372032559852894.jpg,126,107,92
241000.jpg,101,92,95
9223372032559852880.jpg,42,29,20
241014.jpg,74,85,103
358579.jpg,20,13,7
319525.jpg,199,214,211
319531.jpg,13,13,13
241028.jpg,179,180,174
9223372032559852857.jpg,46,48,24
9223372032559852843.jpg,233,228,209
229419.jpg,47,37,38
189171.jpg,2,2,4
358592.jpg,69,64,58
229431.jpg,28,25,20
195216.jpg,0,0,0
229425.jpg,58,40,26
358747.jpg,41,36,32
270961.jpg,86,58,46
270975.jpg,27,16,20
234689.jpg,49,19,29
265388.jpg,30,34,45
266681.jpg,47,33,30
9223372032559880252.jpg,130,102,39
329182.jpg,52,47,54
9223372032559880246.jpg,11,12,6
266695.jpg,24,22,25
265377.jpg,30,27,36
267206.jpg,233,204,162
265411.jpg,19,25,25
329169.jpg,1,1,1
265405.jpg,73,53,44
267212.jpg,53,47,49
265363.jpg,60,86,121
266642.jpg,15,15,15
234662.jpg,18,6,8
329155.jpg,220,218,223
265439.jpg,22,28,28
234676.jpg,14,13,8
9223372032559845046.jpg,17,11,11
235391.jpg,127,127,127
358633.jpg,5,12,18
358627.jpg,43,33,23
235385.jpg,38,34,35
9223372032559845052.jpg,5,4,22
235434.jpg,3,0,0
189213.jpg,140,145,139
235352.jpg,213,209,199
235346.jpg,31,35,38
189207.jpg,108,143,162
303838.jpg,189,165,131
235420.jpg,57,72,95
266736.jpg,18,18,18
235408.jpg,26,26,26
9223372032559882294.jpg,38,41,34
234716.jpg,191,167,139
